State,Location Code,Education,Gender,Coverage,EmploymentStatus,Marital Status,Renew Offer Type,Vehicle Class,Vehicle Size,Policy,Policy Type,Sales Channel,Months Since Last Claim,Months Since Policy Inception,Income,Total Claim Amount,Monthly Premium Auto,Number of Open Complaints,Number of Policies,Customer Lifetime Value,Response
Washington,Suburban,Bachelor,F,Basic,Employed,Married,Offer1,Two-Door Car,Medsize,Corporate L3,Corporate Auto,Agent,32,5,56274,384.811147,69,0,1,2763.519279,No
Arizona,Suburban,Bachelor,F,Extended,Unemployed,Single,Offer3,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,13,42,0,1131.464935,94,0,8,6979.535903,No
Nevada,Suburban,Bachelor,F,Premium,Employed,Married,Offer1,Two-Door Car,Medsize,Personal L3,Personal Auto,Agent,18,38,48767,566.472247,108,0,2,12887.43165,No
California,Suburban,Bachelor,M,Basic,Unemployed,Married,Offer1,SUV,Medsize,Corporate L2,Corporate Auto,Call Center,18,65,0,529.881344,106,0,7,7645.861827,No
Washington,Rural,Bachelor,M,Basic,Employed,Single,Offer1,Four-Door Car,Medsize,Personal L1,Personal Auto,Agent,12,44,43836,138.130879,73,0,1,2813.692575,No
Oregon,Rural,Bachelor,F,Basic,Employed,Married,Offer2,Two-Door Car,Medsize,Personal L3,Personal Auto,Web,14,94,62902,159.383042,69,0,2,8256.2978,Yes
Oregon,Suburban,College,F,Basic,Employed,Married,Offer1,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Agent,0,13,55350,321.6,67,0,9,5380.898636,Yes
Arizona,Urban,Master,M,Premium,Unemployed,Single,Offer1,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Agent,0,68,0,363.02968,101,0,4,7216.100311,No
Oregon,Suburban,Bachelor,M,Basic,Medical Leave,Divorced,Offer1,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Agent,13,3,14072,511.2,71,0,2,24127.50402,Yes
Oregon,Urban,College,F,Extended,Employed,Married,Offer2,Four-Door Car,Medsize,Special L2,Special Auto,Branch,17,7,28812,425.527834,93,0,8,7388.178085,No
California,Suburban,College,M,Basic,Unemployed,Single,Offer1,Four-Door Car,Small,Personal L3,Personal Auto,Agent,23,5,0,482.4,67,0,3,4738.992022,No
California,Suburban,College,F,Basic,Unemployed,Married,Offer2,SUV,Medsize,Personal L3,Personal Auto,Agent,27,87,0,528,110,0,3,8197.197078,No
California,Urban,Master,M,Premium,Employed,Married,Offer2,Four-Door Car,Medsize,Corporate L1,Corporate Auto,Agent,9,82,77026,472.029737,110,2,3,8798.797003,No
Arizona,Suburban,High School or Below,M,Basic,Employed,Married,Offer2,SUV,Medsize,Corporate L3,Corporate Auto,Branch,23,25,99845,528,110,1,8,8819.018934,Yes
California,Urban,College,M,Basic,Employed,Single,Offer4,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Call Center,21,10,83689,307.139132,70,2,8,5384.431665,No
Oregon,Rural,Bachelor,F,Basic,Employed,Married,Offer2,Four-Door Car,Medsize,Corporate L2,Corporate Auto,Branch,12,50,24599,42.920271,64,1,2,7463.139377,No
